ФИО;Группа;Кафедра;Средний балл с 2
19e96c782c752ed37ae83f941d0fd390;212;ИО;3,18
5d90193ed1fdc915cc5d197966bcc3c2;202;НДСиПУ;3,78
a9eb048f94814043af75a5c57ff7a437;203;СП;3,86
fe306a12c40f351c56bc5ff55233033b;213;ИБ;4,21
b7447711a756f77b9443a61efe027512;204;АЯ;3,58
5790cfbda75a38e42136eb1585034edf;209;МФ;4,24
3e2a5b9ca82e76cc24e93e96da140a19;207;ОМ;3,21
aefb1da80797ec98921ff5f9457b4f4c;214;АНИ;3,16
4970d452cab59af345865bbec7ad5fc3;213;АЯ;4,11
f65cdfe8e3fb9bed08b71787833bd5db;209;МК;3,09
fe4d7c5ef8006d95b362a5c16b9127d2;201;МК;4,35
9e67ba1d8ac5b1457e35d8b19cb31b8f;210;АНИ;3,00
c11a503dff860613af3968bf63947511;209;МК;3,00
eef8ed4fdc467602f1c3591a07253ad0;215;ВМ;3,24
3aff7a9f863a5efc6db08d0eed6cb990;204;МФ;4,24
c7a730c32183fc31328dd59e2b02ec8c;214;АЯ;4,28
5c85ce91f45379f296107b78981dd738;203;МФ;4,00
e9fdf81f8affe15ff26608400d7ed6e4;213;СА;3,63
39f0003e8394e3504346f98f51d754de;213;ММП;4,65
64acbfb5cdcce2cf9f45ec431a0a9fc3;210;ИО;3,29
922408a6ddb0fe178919e1d2804d3520;202;ОМ;3,26
b5632f9ff21369a619060bfd8a03b0b5;202;АНИ;3,58
ea9eb5dd11f4cc63fe45a47832932920;201;ИИТ;4,53
019aab5cefd85647fb24882e1678a980;201;МФ;3,22
9670ea75fdb7c1bef3873941d52494d2;211;АНИ;3,1
0ca9a2b39e8f38d7e08603038e579ded;209;ОУ;3,44
e1700c56a90bce66256fbdd8e65b68ad;215;ОУ;3,29
148b66db637d9d844e6d3dda62cb2dc2;205;МФ;3,53
333bcb5ff364ccbf1259620e3eb64a2a;208;ММП;4,94
83b3d7064e0db824ccabd0e81bbe9a69;215;АСВК;4,39
eee6ea2bc6f6bffeef8e2ccb43658199;205;МС;4,5
bb0e9f7962a77d7e4faf6a86e29f7c37;203;АСВК;3,67
e4f386da66028d8e07d01c55cd95f7dd;212;ИО;4,21
213a289ae2447189a6b81ff787e4db90;205;ОМ;3,95
894083b6ea14043252e1ae944c61ace7;214;ОУ;3,25
cadd921911abcb8ffe41dd27a17fe02f;204;АНИ;3,00
50bbdcf1b11a5fb8f3e8cf686eff471d;209;ФАиП;3,32
71a947332da4d84219b613c36c3062cc;205;ОУ;4,24
09cf0c1446c63e01a36236dcf309262c;213;ОУ;2,95
e9c97c0ce3098edc8c9d2034a98e7cde;211;СП;4,22
b90667e2d9129ee3a13b66ee62a49fd0;214;МФ;3,78
7ea59b3111a721edb03b73dedb5dc11d;210;ИБ;3,7
514d0c42344eb5a7fd0dda83d9d4921b;206;ИИТ;4,67
a281dbae1009e539e95a61768f73d490;241;ИБ;4,89
b8b3880b2053d389c33ffb5b2aa9f1f1;213;СА;3,65
4cc3268795aa8cbfa7eb9a831ad3717d;209;ИО;3,89
db13470e34a43dcf553e51589ba3e9fb;214;МФ;4,00
48c36bb9628378e7115647d403e20b23;210;СП;4,18
fa55661004d594f62a4d40b525893de5;208;СКИ;4,24
36076826db66ca38379ce44ab7a13329;212;ИО;3,74
d700627c7d7471a475078831fb44b850;217;МС;4,24
5b5ad1aadf1a13e44fa00fe918edac36;202;АЯ;3,32
18364c79bc5c66c1d9e669b090933a5c;204;ИБ;4,47
3c2f88c14b597701c83185770b6dd92b;204;МФ;4,22
c94fceffda4347d149a3ea39b6a98d75;209;ВМ;3,59
ed68814d6018ac15a91967c2bf76e735;202;АНИ;3,67
ae2089b89fc87418208073d35a6ae394;206;СП;4,56
dad0945859b07da49c0448357a7899a3;201;СП;4,47
1c63a6efa6cd8cc85122a30b0e979c37;202;МС;4,22
27a1629bc36e0247926b0fd6fe235521;202;СП;4,00
d3292c2b4f9062b67ca83d2d991854d0;206;ИИТ;4,41
888c26123a50ba5f6c31a499c4ef2a0f;201;СП;4,76
c3092fe0d8fd3e91daa5c12f6891d0e6;204;ИИТ;4,11
1a97761b649b0fc037ff981d1ee73d6c;210;МФ;4,11
45f9f2374ad378cbaa22a7bad752b71c;210;ММП;4,61
69da3c5401dfb2b5c5966ff787f64086;204;ИБ;3,27
e4bc45fe1653da2baa3afea131f9898b;206;СП;3,78
62031d342746601e645755ffc05be8c3;206;СП;3,3
c79bfdd98f39217e1b32fb4989f76f0a;216;МК;3,95
4f7da79d516d9422d5f33260d88f3d48;202;АНИ;3,12
51d1a4dd6440c7626a8a78abf1725fbc;209;МК;4,35
f634e68b5578131c82b397b90a1857b1;209;ИБ;3,09
e3668c8fda378d898a4016315528ec93;207;ОМ;3,53
b6521cf1a44374f51270667419c98c78;213;ФАиП;3,5
42b07bdbbf93b6684e78fcc3fa3dafe5;212;ММП;4,88
eb1fd4e14537a0e6aac47386ef1e199c;201;АСВК;4,28
0843fe9d6d6cc07bf30c516d28711075;204;ИИТ;4,41
78bbb0c7f16618cb6771d71d166fcf5f;215;ИБ;3,18
c72ed46931e2ebc816e3e3ff52ae2614;207;МК;4,35
0bc05d726c52d06698f2aeb0f9d0ec91;212;ВМ;4,17
3eb409d1909df938402a0e622f297875;213;НДСиПУ;3,89
4384c3ba5c9749bd6fe2b6398b9cb4a2;214;ИО;3,08
bc62a3de8c9bf906d006a73fe1c24763;201;ИБ;3,13
1c9105979d953f1fc03f13e507bcafd9;208;МС;3,88
bd857cb914f0132474f65e8edf8b0d63;203;ИИТ;4,41
6201d68948de31965d85113e1ae72be6;205;ОУ;3,09
76ae72c52a36215817643147380edacc;209;ИИТ;4,41
ee4275b22106baac00ac44a0ac83c39d;203;ВМ;3,05
088e3c194777962dbf662312db202437;208;СКИ;3,71
890168744754d1be6caa5100d361df82;212;МФ;3,41
950eac3cb7b52d5f2d6a05c949c6ca66;203;АСВК;3,48
644bd37044529830ce6bb17fb4549e6b;202;ИИТ;4,82
6b941fa058ccab005d9294770a4f2f0f;213;ММП;4,71
79d22878265533ef7945762e7b3004ce;216;МК;3,1
ac5d2bcf8475ae3d4e426de4fb635c9c;210;ММП;4,59
980afe963831f3da44b160b38768083f;210;ММП;4,82
084621836586d7382ed76cda46a2e857;211;НДСиПУ;2,92
2b1ab96c23f28dc04d840b547478960d;210;АНИ;2,71
47ac543fa08df2e160248df8c5cf956a;211;ВТМ;3,2
d6753643a96cc14c0d1d7b2e51d1a958;201;СП;3,7
05f98c56a133e59930530b6b692dde6b;212;МК;3,68
1ef59a15730096d2409103804286f031;203;МС;3,5
cc8a6f02d22e1199301089181eb3353c;214;СКИ;4,11
aa3d7e8eb3850e00697899875aec85b5;210;ВМ;3,48
66bdcd20e8d30951781d5b462fa2379c;214;ОУ;3,35
4b9c5e88cb0edf796bec3013662b49c7;208;ММП;4,76
2c50ffa265044fe279da9d514b615881;212;ВМ;4,00
b165a697c0c7f2d156fde3faee0d112f;215;ИИТ;4,56
6491410b7eef4045752857f7c50df9ff;201;АЯ;4,41
cb02207fcea7ee29822a1eb456496c4d;209;АЯ;4,12
8025af08caa08141bf91e49304d497a8;205;ИИТ;5,00
bbc19e652c1871a9556ea36b19f3d6fd;209;ИО;3,53
287c425c2d55b3b2c8bae014f09fc17f;208;МК;3,59
6973a1a40f947532e303c8131180fd49;212;ВМ;4,22
d946e2bc2e520a24741fbea49fbfd10d;207;ИБ;3,52
ec9871c7de9c8dcfac0fae467cdb141e;212;МФ;4,33
ec64990ea14ab990bbc7c5b69c6439b8;205;АЯ;3,47
a0c3f252b97ddbadf444b2299fce30c1;216;ИО;3,42
7cb5505029099ab461cd75b809f29a83;202;СП;4,24
9defc9ce4448c0be27c716c9de79cea2;211;ИО;3,58
ca301120f75d8b3cbe070f1e5522fa3b;201;ИО;2,79
9f6961d5e815b48c526693c2b4560e9f;214;СА;4,44
17e54782ee7b76eda290da66cf14f22b;201;ИО;3,00
f0b5e7f3b99e47c59c466c384f5f8675;215;АЯ;4,12
fa2d0d22e45ee791fde7c5846f11d3d3;201;ИБ;4,61
fe275f813e15123794f956b2077c8618;201;ИИТ;4,47
39bcb61064ca6dce405b1e6ab20fc63a;203;ВМ;4,00
a14db2cbc203ac0b4eaa61cf326f4711;211;АСВК;4,88
303bceb5b4f68092194495f07d36d1c2;217;АЯ;4,41
e45612ab53bafad46e876c68e04f7488;203;ВТМ;3,44
9a683459993467f2489ad7535745fd61;212;МК;4,24
798ec184bf79114c30a877bf1414bf84;216;ИБ;4,05
6854ef988d07c035847280e7e1986957;217;МФ;4,00
0a277f74c12569e59ef3a02b48930ce4;210;СА;4,88
818906b2773f19c0a9a4f9466827eeb7;214;ВМ;3,19
31792160a728f8f20461df1ce2ff219a;217;ИО;3,56
7e893be562514f85db849ef84acbf111;207;ВТМ;4,41
9eb7504f45e2ab9280ae38bd66651074;205;ВМ;3,04
a8d51dee301dcda461ac278c022d766b;205;ВМ;3,33
feaaf8d834dfcd0ff37d3f0769ac814c;241;АСВК;4,89
6e2a5c88640e41e6ff9d29e9cafa3536;211;ММП;4,71
e001eb403dfd4a4e1e8320eccc0ede1a;203;ИО;4,00
92a410c9b59e0049b0402cc83bf19914;202;МС;3,89
4d34ad84f3c8f6cb7e76921491f6fcc4;214;ВМ;4,53
ba371daef1b72f7a322b0bcd93f107ef;216;МФ;4,22
a08cd4b7c342329c20a7af3774bdad82;205;НДСиПУ;3,83
801c4052e8938784eaf614a39a04663f;205;ВТМ;2,92
9eb1d46da3a307329d699320ec503e96;209;ИО;3,79
dd17e090fbd8c005d0c3d993041241ad;207;ВМ;2,86
32018eeb5fa00f75b749ecaa4a275ac7;215;ИБ;4,18
cf3cfd6d13c0094c3362df8d013fbc5f;209;ИБ;4,29
fca64c045d063b4a08a397d1f91841e3;211;ИИТ;4,59
45ed720210c9d73e1d86b7f6a7148cb1;216;ИО;4,18
f9bc65bffdd05f5d37a2af2dde3bc4e0;208;СП;4,59
1d4034ec01e793c0b63e7b8820c9f08c;205;СКИ;4,00
e98c73015e079bd09f7b0344eecc3bab;201;СП;3,9
a051ed7fe16edcf2f3d257d66c8bd400;206;СП;4,18
fa3c504577079b8f26fcc5698fe90a58;205;МС;4,06
f5d9a9a298781a184ac5b3a4575ec22b;241;СКИ;4,83
ebefa5a66e3472c636cad7147a7561f4;203;СА;4,94
302700b2d17a207fafeece4e539273d6;218;МС;3,6
c3c808485e6b1a310b4e9c3f824754c1;204;МФ;3,75
c6e6c1b6e33f47001a6116d083263015;216;ВМ;2,79
308ace5f6e9ca396d6f4c1c60d65216f;208;ММП;4,35
640275a4d4540277714a0de3f9257220;216;МФ;4,71
09dc4ec11e26ac0ce144e094d37d15c0;217;ВМ;3,4
3d81d52d745accd3f63782c7e5dcef06;209;МС;4,41
db510e2893356eef4b3a21859bba6214;211;МФ;3,63
a27a8a072b30e64b9cbb2ce0e33eb179;215;ФАиП;3,05
174de7a820f54edde28639eca7a02068;214;ИБ;3,71
023c60d915843ca3ce76eb567a7acbfb;214;ОУ;3,3
d6da9227410fa571cc1e544b532ae686;203;ММП;4,94
79d8b17919cfd3fd97c27fdd1fbcb0ee;241;АЯ;4,33
e12d56fd7854509cabdf7eaf2fea021e;214;МФ;3,57
91e17997745af2ddb360eef6515d75e8;201;ММП;4,94
224455749c7518f971437c8da4408308;213;СА;3,14
10d594ac7b69dcbb50ec3aedcfd56488;208;СКИ;3,42
42665e6304d84b2f9cc5aa102a57f8b0;211;АЯ;3,37
a63ae073ffbf4f69a5dd0e1e508db820;203;СА;4,65
6f4179fcd6e919b4a9e80878d42a1a73;206;ВМ;3,63
20691fbbd80d58a672d248dab2197f44;214;ММП;4,26
6c1918b57c951a3e6f8d6aad84f83f57;208;ВТМ;3,8
ccdb917416eae5c2ec121448b6b0b871;215;МС;4,35
a808eaedff9a1df6f5c140a5c8809ef2;203;ММП;4,18
717e5b5f2c80d1a75409856caae2417c;209;АЯ;4,28
9e99b9ed375c03b1146b437ac397fe46;215;СА;4,76
957c8d86b5d4e9c8a7592e3415ce1680;211;СП;4,61
1670d3322901fcf67f1f6cae2bfd5050;213;ИИТ;3,95
78b72cd2e23d119d3005ebb16e940978;211;ВТМ;3,44
7de8e83cb2df906ddcf9ed5290a9b764;213;СП;4,76
945cd7b2fccaa0c59fb71533d7af8adc;203;АЯ;3,78
643f82d44d9545fa165e41acb6896d4a;211;ИО;3,75
5e725f3cdd7386f991d0db7136b460ef;217;НДСиПУ;3,89
cd7bd70ccbbb7340d60896f8fc2f8001;216;МК;3,14
2c980ca4b5eb14b1a718ef1ef242f41b;241;СКИ;4,83
d1722467788ebf5fa9fc576746d47b80;216;ИБ;3,2
23be3e42664073b01af775182f8d4ad3;215;ОМ;3,62
afaf8e4840b9d58921ba162507b2b6d6;202;АСВК;4,35
8ce3371377af8d71cb67e3a22ef96afc;212;НДСиПУ;4,33
1478dd3186539373c352c5bf9e556507;207;МС;3,71
6cc52eb74d9f25457b792107ece03876;203;АНИ;2,92
2b214fcbb9de1a3e3d41ba05b063406c;217;ИИТ;4,71
439db11ee7587b9f2635bb74cb06a58b;203;СП;4,18
4998c826b5d59e08466b51989298b991;205;ВТМ;3,64
aa13d027ae8df9d597b8360333fdb64c;205;ВТМ;3,74
fdc1c7eaa644fe8f506dda829710d807;216;ИО;3,74
b7b362a662c94092fc58218256ddad94;241;НДСиПУ;4,17
1875e1cd1f3da052388bbe20d4402478;241;СКИ;4,22
664d69d0b135d9c67b148b22d4668e8c;203;МС;4,11
4e7ab0392f30c8d3bdbe33475c1fa47b;216;АСВК;3,74
7095fad0617725b2d92d2bb38e8965cf;206;ИИТ;4,88
96bcdb1c8277d855352522248705b543;204;ММП;4,00
20a408429874009471874624f0511b5d;204;СП;3,94
0383812d46e41ee2480dc3a9e27e5490;212;СП;4,1
24c094300cd9f2d047b3119d19fc7197;206;ММП;4,82
b696c22879b1cc1ff726f8e9449c0096;202;НДСиПУ;3,76
057439868cd09c17d6c415f2c3799244;206;ИИТ;4,65
6b309aadd2391170faf5249e8f63b7d4;216;АЯ;4,82
27ee84928a2ef10a0dc52e83fb1d8207;204;АНИ;2,88
c933174464330401108e9c255d5efbc1;206;СКИ;4,24
3fad58673f2359da57c0e0681ed3477c;201;ИО;3,00
dae216f69079051e3885a6945436f045;207;ИО;3,82
1a56f1538f400b8220e15ccd670c93d1;211;ИБ;4,11
a124ff091024bceb536d041152bc0c96;218;НДСиПУ;3,52
06d4004c3caae041d0d108e1a686e078;212;АСВК;4,88
b36aef361d783b20b3152a2cf9029a15;204;ИИТ;4,47
c7f781c10d6bfc1922f36de96e678d38;216;МК;3,33
18cbb30d1d896974db82992fd62f120f;204;АЯ;4,47
5e53740433dacbc09fe42fb13d6d73f9;205;ОУ;3,32
