ФИО;Группа;Кафедра;Средний балл
6f85fc5b6899057c67ed77d8b064a1a6;204;НДСиПУ;3,00
07a25886f1f8d184ba987d01b7597f49;241;АЯ;3,75
b3ad741add39e01f8feb4e349fcdb3c6;201;АСВК;4,12
036af422b422856019d7b38e740d01ee;204;МС;4,63
128e0aa7d6248d82dc9c23a80e120a89;212;ИБ;4,81
9371fb77ec9dc45e548ff27627f25f73;212;АСВК;4,13
a08c9e53a5f577d584395a9bb046556d;203;СП;3,94
5ed6dd5ddbd98622fe10114427bf831c;212;АСВК;3,76
4bf22f360d7261fe4a4e0fb83c0811d0;206;АСВК;4,00
5dec3409b3907bd5318b820ca24ebea9;212;ИО;4,50
a02c300d85a1e18aa32e0871ef25dbfc;202;АЯ;4,56
6f6f39fab40b83e2d1e9e173b56b6934;209;ФАиП;2,78
ee2dac6add97e547099d04f243ba4c9f;202;СП;3,67
c0cc5761195aaffe555d57eca7ffb6cc;209;НДСиПУ;3,55
ecff88ccdf609747384f6d272ba5e52b;201;АСВК;4,88
19bb494029340d1e5f095ed749a68faa;211;МС;3,17
79ea8ca55a448a5076b4a94ae94e3535;204;ОМ;4,06
438ad0002a519e976fff1d4ee12e1c94;210;СА;4,88
45c33a09103ecfcd046f3618226e60fc;211;ИО;4,12
0ac41dfe751747602acecd026f928fb5;208;МФ;3,00
6321b95fefacf6a73fee09aa51ea5dac;210;АЯ;3,45
6d9fdcf441f37735888544ff96fdc348;213;ВТМ;3,20
62cea5024c6f1c3bc5bd633a268bb3e5;206;ММП;3,94
7e99b30d54aba5c8b8b62098ee263a02;209;АСВК;4,25
3668ec8fb5dc10b360de325c96c8084a;241;СП;4,33
ad89f3296c3319d037e21b509de5bb30;241;СП;4,83
d62d43af5b1c78f3d0e3dc30ddb0aa51;207;ИО;3,21
18ec6bf8bd4c1abc905fae0d77b5e1c1;212;ИО;3,20
40cdc4d92aeaabd6512ad80a419ad0f2;210;АЯ;4,31
c5d79d124592ee32eed2b03b7724e17c;208;ММП;4,75
327767d63e205c95290ef640231b9398;205;АСВК;3,30
1693d31fb6f7aeb9e0299f03e94fe5db;207;МФ;3,19
0902cbdc28938a88db24dd10a50f4abb;216;НДСиПУ;3,28
8b07679218c2000bd508b7e921186a8a;216;МС;3,42
08136501e3195a9d8192bb7ad3175752;203;ОУ;2,79
663d51580d14a1c9aa19e8cb7f82f19c;213;МС;4,44
8d72c8674089ee1e7e4fcc6a15a6728e;204;АСВК;4,25
ea4bdf51b0c5d83adbd1fe0229858b20;218;МФ;3,59
8af0d8ff8582506d6339474586e27166;211;ВТМ;3,04
45a26a13588719de6dfeb24cffadc8ae;218;АЯ;4,44
c3cdecd1350b1012ad8e289e9dde1fa8;218;АЯ;3,70
1d295261d3ff7daaeb61d0d406a1fa62;217;НДСиПУ;3,94
5fcb8bb1e8e9b07f3bfd3199b0d6c740;217;ВМ;3,13
c2f260243b58eb6286d6c059c038db83;212;ИБ;4,56
aa0e6f1b191b6a85d5bc5984ba13332c;215;ИО;3,14
2deeebf6c2367d0985561105350d5a44;201;АСВК;3,88
e7974997a713aed8fcbec717dd3a4087;204;АЯ;4,06
30ef89d7a1f69e6813a780937a95cfd7;210;ВТМ;3,55
3a96ab0d48075a2f48832b9e811d34a5;202;ИБ;3,42
cc02c3e73bf20e650301033da8070b1a;204;ОМ;3,67
92c576e2ddb797916e2156b5a08239e3;214;АСВК;3,94
fcd9774858f0832fd2e58eb08925a392;207;МС;3,94
044c2dd9586a8b67856f1e25d049b1fd;203;ИО;3,37
fe4657fcaf88c66a7b5ea01900e77a5d;214;СА;4,00
760443d8e9ff0f7df19ec680e5564726;204;СКИ;4,35
e731c578616cfc68b971eee3ba093f1d;204;АЯ;4,35
e0362519d35ff51814d208e5ef14898d;205;ИО;3,35
9f6c347e2b4ae9f0fefbd3fb24b4bcf0;205;МС;3,42
589292fd541742961c16e513b71e6f49;206;АСВК;4,75
ead4e2a606e048cd7784459515397aa8;209;СП;4,88
9fea4b126c278d6f7283dc52b9ff81fd;201;СКИ;3,14
1fc128e420a6c49cfcc682fa31132818;218;СП;3,90
71c1ac3fb7f24fa27643d7f3d3f9f4fc;211;ОУ;4,18
fd3b7f2557a515970db7c34810191762;207;ВМ;3,14
d27a758d5110771424bf25fbc8db3b2b;213;АЯ;3,76
6302146ff95d3feb21a330e6c85933c3;209;НДСиПУ;3,67
59f98da2d783ca520679293a66b97dd7;202;ОМ;3,24
5ed1dcd9a5656add07d7d2c3b3c4f803;214;СА;3,25
612879230cff1bef1f119728d3af2ed7;214;ИО;4,06
bf10d998e1e6dae4cdec561c97694f19;201;АЯ;4,69
4dba8fc34ee12bff73c031d2db724035;207;АЯ;4,25
17f4b49c2784b48a70812f9a9e111252;209;АЯ;3,75
97193602e2e75cb1e44b800cb8ec32ee;203;АСВК;4,85
40002979f22219b92ed139c13ef34ee9;207;МС;4,81
31f9f1a2128db3b71088960a6972dd50;202;СА;4,63
6b07616db13a5fdb139be73cf0db12d0;202;СКИ;3,44
ccf1a4aa460f5412ce1e361115d0c477;215;НДСиПУ;3,78
63a253cb641f0df45f9f3afe4fe4d43c;207;СП;3,44
024c4bc9a7919084375115a5efd2157d;217;АЯ;3,53
a9125e44cadb006fe0a9536a298e08ae;206;НДСиПУ;5,00
2ba6adf50ffae641c38a1ee27b7a30ff;215;НДСиПУ;3,35
c2edba7c9ada4dfc3e08a31b82841949;214;МС;3,25
0e3d4a8418370726f891ad4310a99179;214;СА;3,50
2e4c055cbeb4dfcbc23b6b5afb645cb6;207;СА;4,22
0ca9a2b39e8f38d7e08603038e579ded;215;НДСиПУ;3,44
694fda4620b681674637947c94ceb57b;205;МС;3,50
4deadcbce214358e69a23e43701da1ae;205;АСВК;4,25
859a0debe946f73cf1b82de230199a7a;211;МК;3,76
80b2a1b78f45e2234da2b647789d5e99;207;АСВК;2,86
fd0a03b8a64c4cbe70ab703fddf59d8c;214;АСВК;3,79
58c9e26bcaa3a31708104113105fa42d;206;АСВК;4,13
f319937cf126bc5d17499185440579e6;210;ИО;3,32
518fe074e4376b5c6a2011efc5663c78;204;АСВК;3,09
8ab55a3a412631ad1e332e7734168734;241;СП;4,56
8934afd720a8809a1ad162277489fb2c;213;СА;4,44
763ec1f849d7e829a305c8da95979f95;208;МФ;2,79
36dbeba8688b9e16e93e0657a53f89a3;211;ОУ;3,15
f0fc1d457ffc0c817b858a48957051c6;201;МС;3,74
21147191325a42e113e21f35743546c8;218;МК;3,56
c858c40c7899e042fa2cbe655d0ffb3c;218;МФ;4,29
e4b38ec9d17d406ed2a0150482332fae;203;СП;3,23
4673896723d95571b994c253a501c2e4;211;МК;4,12
a010711fdaf763e80eb1ff2fe0e169d4;202;ИО;3,59
03224724fc5107af036dbd384d9255af;211;ИО;3,95
dd76b31177b7fe185e328a26d1b4124a;205;ИО;2,72
65a03a6af3149f52cfdf467deb13a6a7;215;ВМ;2,91
0ac0c9080d7e0b4b22089256f8fb72e1;210;СП;3,13
4d195d557ef58261c7ef6fae19f554be;209;СКИ;3,89
91093eb349781fc0e2a76d0e3cbc59ef;217;ММП;4,69
101dad241a84377478e07531c6d777ac;217;ММП;4,50
c4a52a415ab0ab6dedfa6c0b92cde8f8;209;ИО;3,55
a9740aae924625aba6bd989d5785a46e;218;МС;3,58
ee9f14fb84470433d27abc220ec36b0f;203;ИО;3,30
be8cadec9bb70e3c54a5757a37a2b801;218;МФ;3,14
cf7d732240649fc7b6121e6c1af8b436;216;НДСиПУ;3,58
8fdc9a9b3f5f48d1273e3b6d91d1fabb;207;СП;3,58
f779f9a3fe9f50c410873166fe283f53;218;ИБ;3,42
a360767c8d052bccfa91e97263f63265;213;АЯ;3,89
a796ee05b9693771f512461b368cde25;241;СКИ;2,79
378364d456a5e9221a97ee7fac73ecff;202;АСВК;4,69
718c7473883c07578d97cf5debd27865;214;АСВК;4,38
cba3d6ff2b9d170913426e423087b3d7;214;МС;4,25
61fdf0fbb2401770e1099c3b14075bcc;215;ИО;3,94
d098d151d643021c6ee7d5cbb6e5db77;215;МК;4,88
8ea86f0a81af1bf99b28165bb9cd1819;209;ИО;4,06
ee4275b22106baac00ac44a0ac83c39d;201;АСВК;3,35
5907caceeadcad5bd647bb45f301bffe;211;СКИ;4,00
4773bbf562c64d94c8df0c2afd81dd5f;217;НДСиПУ;2,76
4f297a4ec3c638eb0acfe3ceb1033810;203;ИБ;4,31
13e10f47dc8476fbf54eba616885c02d;215;ОМ;4,94
baf4945903f0796cddebb8b26971a2ab;217;СП;4,00
6a2519ddf59ac16b0792027fbe44abdc;217;СКИ;4,13
c5774b55c4f7fcf21d5fdbe42221fc53;203;СП;4,65
bf1409bcc71452797679445d0334e0fe;216;НДСиПУ;3,42
89fcf183c7e9aebbda26e34b77d34086;241;НДСиПУ;4,10
32ca3e90823ca110d0af8a01dfc90b6f;202;АСВК;4,44
9b48f79dcb29778796f4656a6389b285;201;АЯ;3,76
2e231d13c012d3ade05f803d59e739ad;241;ВМ;3,13
94aaa120fd9466f808985b91aa88e8ea;215;АЯ;3,83
23fde0ef7e57c1e85003029ef4aab97f;217;АСВК;4,88
75e76602005cd197e944ad1d9d81d6aa;217;ИО;3,48
52ddaecea5261bc940a5dd5965287a29;213;МС;3,94
f6a6f140f8bb237de3c4c4b85ff28291;216;СКИ;3,19
c582ffefc2e3b8e53219e90233e96fd2;218;ИО;3,50
de07b1e2b51c34dc33d00aaa4dc17f5c;201;АСВК;5,00
34d5e5fcb141b2f5bf9b2a43884859ad;208;МФ;3,04
434c9db93f7aba8c81cc4f7fee8e60a6;209;СА;4,44
1749fcf6bf31afaee8aa6fce87bb209c;212;ВМ;4,69
2de5a23f96d8da588bce6ca15756f8e3;213;МФ;4,81
9b76556f03deb4cba77f7415f123a480;213;СП;4,11
8a2270ff222b58aea1f904cd80f9841f;206;АСВК;4,69
1a8a0316367bbd2e8a306883d100ea78;212;ИБ;4,88
4c5ccec53fba3cc2ad367b4b48834776;213;СП;4,29
4b0aaaaed43b2b8b79ef180bdcdd4306;211;СП;4,31
e0e1d09ec89f6a34025580a490f7d271;206;МК;4,06
02838c352f37463d4407735b46742111;201;ИБ;2,82
cd1ee83dda517bbd90c85906bb99e5e4;201;АСВК;5,00
bfa4d3676ecfe4dd2c49779c557ddbfb;204;СКИ;3,20
dfa62a93fd6aa92f93ce4b6815a09c7d;203;СП;4,13
eb89cae58f4501da1c510326e675b6ad;241;ММП;4,39
d80eaa5e99db44de30cff9639e65d885;214;НДСиПУ;3,26
2e4742038e5060915fd12fc64f9993ef;203;ММП;4,39
6d46723ed375e569fcaadaf04911381e;209;ИБ;3,19
6d0faace4631528365ed03bab6e067db;215;СА;3,88
ff4ca309315aeb37d8ccb370a4682116;201;СКИ;4,05
b2ac6fdaeaf264be9d4b58ea87d00cd1;211;ОУ;3,67
ce0419aef155a64bb840f8df8a88c029;207;СП;5,00
c27c54bf70f6c9d6a8c4b64589ad9e0e;203;СА;3,15
e6a3c004ae6c031eaba052b835416825;204;ИО;4,38
dd93815164b3232ac3924eef7e1eb18c;241;ОУ;3,08
e26d614e8c2d2cb4596e89406426a647;204;АЯ;3,71
36c0864be0f024a187ee95e7faf53917;201;ММП;4,50
114a92911c90f1b555de0abf8f96e54f;205;МК;3,09
3363106fbc99304609c78b686ffd19ad;210;ИО;4,19
1cf1c167c2f13ea73cf1fec1b2fa4039;204;СКИ;3,24
3ecaf1330abb6c5e63daaab45a4ea34c;217;ММП;4,63
014c8fbdf3b2c5b236c8265311884278;218;АЯ;3,50
ce1e27eae24aa2bd53ff68cc34b5a1a1;241;МК;3,39
5adf3ab1d788c3ba619c395def82b22e;214;АЯ;3,14
b3dd0af47f1cf7d7551d22324872b741;201;МС;4,25
a9cad5f8270d70e99bdb39f7e85bc715;208;МС;4,19
746c2d347c3a8efbcf63112f8d85b18c;241;СП;4,44
eaed4f6dc6bc1f7f87a693669d7da2db;209;СА;4,06
5383f16104101ce7ea0b397002aba756;210;СКИ;4,75
d89af189336d1b9654d0052e52a6fb21;210;СА;3,24
8d50f6bd13f296cfefeac145aa720052;206;АСВК;3,44
f30d4a8b443ba6dd6d35e2f3c5280d6a;211;НДСиПУ;4,50
b06481eabcbb959e96ad3a8e7857e6ad;212;ИО;2,76
d4666aa66e95706a2061e0c5ec04bb40;204;ИБ;3,56
bdff46f3b97d36ef16e2492959af4988;210;МК;2,96
fc1d0de8f5d937fce3797ea393ea22d9;215;АСВК;4,38
47d58835486f1e0ca1ba3daf34d488e4;205;ММП;4,88
a0413e16285fcdafcaf4ea1cb835e0b7;202;АСВК;4,69
02aaa1e8f3bb9418cc250f95adf38d77;207;СА;4,88
41080c677c557a28022931bf3f1aa7e6;218;ИО;4,75
a044d1a9b363f58f1cc4a319a3e42818;206;ИО;3,71
848328cac884353aa694f35398bc07ca;205;АСВК;4,69
2edc5b9f9e8bb8d214ef71b7e464f05e;205;ВТМ;4,94
8ad7342d2520603d11145f6a89828c2b;206;ОУ;3,47
4bb0983b506284dd3192b3beaed2ee8d;241;СП;5,00
7fd9add1e324ecdea6d868d26c9dfc6a;214;МС;3,23
f3216fe870ff7cb4e2a3da4c7de22cde;206;ММП;4,56
bee4e49b7b142a334d1f79e5cad6728b;213;ММП;4,56
076da646073f505d0639b5a105402df0;205;МС;3,82
fe1183c15d27fa9bd7dcf31e642dfeb1;214;АСВК;4,39
9a11401f5bb1d74a2ba1e202531dc342;216;СП;3,47
3d2d3cb2b3240292ae7dc1c5b41747a6;213;АЯ;4,25
c35805d1f73938214ac37d60b52642f6;208;МК;2,84
970d5918595a707224930420cad4f0e1;207;ОУ;2,62
47d2edcd59255d9a3a6787d8e20ce558;205;ИО;3,50
d547ca4b4dd3ea25c9cb280921803e95;208;ИО;3,83
af93fb960c1ce8502169d0e56d513a8b;216;АЯ;3,23
543c0a9f4a79ab193016ef278fa1b447;207;АСВК;4,75
55368bf28da22b7bad151d5955c8528f;201;ИБ;3,65
77487676bd5ea5436f233dfaf0b299ec;208;АСВК;4,38
7e5d378ada8a41041fe5aa3cf6b18e3f;241;МФ;3,79
f1e6cfacf21f3de2bf7b7b4092dfdd04;218;АНИ;3,14
4f6ffa6f386abedfa066ea8ab9a65a09;206;ИО;3,39
d3d06816151b18808cc27fa6703609e5;210;СКИ;4,50
6871e12a3d8fa9a7a1f9860b94b5bfc8;201;АНИ;2,88
ba6f72d6ba8ca604f8ab0e0b70d82ed0;212;ВМ;4,38
553a7927284bb624c3e51a167ea9cb28;205;МК;4,00
e65fa5b2d290f10669103bb39eb4cf4f;201;МС;4,94
22b5efaf6de2a77236f6972d7f0c8514;212;СП;4,75
cf4f856c018a7003e4c22a1209ca8118;212;ОУ;2,95
78028600d357d8ce12ceae8114e087bd;209;АЯ;3,58
3183ff8232d61228b6df04974633db89;213;АСВК;4,25
92483bed91d5659855281a5ceb90e2ae;215;ИБ;4,50
18875120a341e76335bd54d7392b30e6;213;МФ;2,68
bc4927e902176e99088f9b2798ed4047;205;АЯ;4,53
66facefe332993af84c5fa8f23adcad4;209;ММП;4,81
ab0e167de42b784754980a6132e8952b;214;МС;5,00
ba5302af4ecc3a4670173495ffad635e;208;ММП;4,75
287a10c8152fa036ea4ca135268fa99b;205;МС;3,71
c44fabb9e2a96824895896a91fabbb76;208;АСВК;3,85
15fc8fe15a4bdf346289c5933c77a805;201;АЯ;3,61
8fb8d1da3276c5d79531a7e3ea98ebf9;214;МС;4,88
f83933440b33a01cf100f3f9e8b01f35;216;АЯ;3,76
a6bb211a66bbcd9b8e59e753b0194ef8;211;МК;4,00
d77f5a219dbbc33bff5902bedcccfff8;213;АЯ;2,77
d393949be857e2084bfdf0c55ddf3f1b;213;СП;3,89
8d6c29dbd7b363e8a91f44bf6f4bccd7;215;НДСиПУ;4,38
e3bcc6ab9d8f968bf9d6d519c8c0a747;208;АСВК;4,06
5561d97d2fc7a905e1c7785348b6afc6;209;ММП;4,29
3bfe35e16cbd3ec1fffb6eb877e46372;215;АСВК;4,29
980ccd2eeddbcf1c13ac67dd678da082;212;ВМ;4,50
753d80293fe292ecbbe3c3a87d702f09;215;ОМ;4,50
7f111cf0d20fb4cc4aa358afcf4eae6a;204;ИБ;4,81
2e791a511b90e86dc7b3219c7c057746;205;СА;4,18
617cb9916fa428def8bd4ccbd93f2983;210;АНИ;3,94
61167e332cf35f7137f7c18931542178;209;ММП;4,75
8cf3db08afdd08d2b5d3b4d9be266bd4;212;АЯ;3,71
342498e80b593ce8de8bdf13bd9f1020;215;ММП;4,94
8f8088d978d11db69084d51075dd1ddc;205;АСВК;4,75
1c127afaad1198a8f4b83d33c170e5cd;202;ММП;4,88
25bbd5b1483a4a9c0000ec9a2fb5f662;201;ИО;3,67
d603c8f99dbf94a1cbfdb60afc705dd9;208;ИО;4,00
c60854f96bc5e67c3ceac962bab3e391;241;СКИ;3,39
10d0b05cbfb31f99c379354b05e60b53;210;АСВК;4,94
21c795b72874b19309eac7ad48faf854;215;АЯ;3,71
a8d4ba1b068069e6072160bf495822aa;241;МК;4,94
992acdf0f062f72e076a40b0a7d720b9;205;ИО;3,20
2d0e8601c015af4040b135b8671654e6;208;МФ;3,56
d3ec6310a8410ea238535266a82117e5;203;МК;3,78
e93039f2a099bcf6cecf8c39c07908b3;214;ОУ;3,25
b976009487e39cdb8f606c9849d4e217;204;ИБ;4,94
cde7094b9882972bb426576da457a092;203;ИБ;3,67
41475752d3d81e8fe88fe554c457fcbb;210;ММП;4,81
6c51f8379ad3f6d25eb5bd9f3295dc7e;212;МС;3,94
d35debc5bb8fb666fac90b5ed83ba31c;207;АЯ;4,56
7817cf19ab9fa6893185529262f18686;205;СП;3,63
