ФИО;Группа;Кафедра;Средний балл с 2;Средний балл без 2
18ec6bf8bd4c1abc905fae0d77b5e1c1;209;ИО;3,20;3,50
433f7e6efce2fae25509b5931fa759c9;208;ИО;4,11;4,24
90a9f4e687aedb5d9cb5c0a3fdf41857;205;СА;3,89;4,00
5d6c3f6667fba1d6dd0d6db406bf5cf9;241;ИБ;3,38;3,61
aeb8c0daf92bd335f78367a946decf8f;216;ИО;3,17;3,65
f78708c60592e9b92505939d842f6c01;215;АЯ;3,47;3,65
72f480516e8ce902b251593ac8fce4cc;213;АЯ;4,24;4,24
884a951a958094df627368501e30810a;203;ММП;4,50;4,65
bb34a4c7a46711a38ccf6d75a3abd5fc;208;АСВК;4,65;4,65
6fb4b32db4166f4ebce7b2b3858ba1c9;211;ИО;3,81;3,81
6ab199cc9f7b8945ef4ea8f5efada67b;241;АСВК;4,37;4,50
d398c61b71ee64f602e47769b43c9878;213;ВМ;3,44;3,63
7c18d3909ce23ae2719d0ab1f5aa92d8;210;МФ;3,17;3,59
b914a525a1a889f0a9071890b5787754;203;ИИТ;4,88;4,88
1096aaf82765c027e0fda4761379f5e4;204;ВМ;3,00;3,25
00d4eb3ad7b8e435b09f70a7c0aead87;217;ВМ;3,30;3,53
43f3e6204d73325fc72d46c17a4a2933;202;ВМ;3,05;3,29
52522a00a847efdf163be96ccb6532c0;213;АСВК;4,26;4,53
b6445a2de6253519af601ae0a8099788;212;СКИ;4,24;4,24
94e3575115f6e3d2c352425121bef6bf;218;НДСиПУ;3,67;3,76
6947eefc63c9d022cfe9339359cc7fea;202;АНИ;3,70;4,00
3b68984576551691bfae57d80f948b02;212;МК;3,55;3,82
33fbe40b043ecd10172c5470ead75f14;216;ОУ;3,15;3,44
2bcf1fc34a1b00e2443f17c9133ec371;206;СП;4,71;4,71
4fb54a2383c270e24e068629db61652e;206;МК;3,55;3,82
f579a861916ae9d3c76585b05dfbeb73;241;СКИ;4,44;4,44
e47af434d64b5b717ac38584ea78108e;218;СА;3,95;4,18
c5c6bc0594ba2b00f6ba2c6ca24893bc;216;ФАиП;3,11;3,31
157f466e1e032529f380e37db51628aa;201;АНИ;3,00;3,35
6bba42faaace94c51dadd1f80ecd785d;241;ОМ;3,62;3,89
cc5971a044a4b815b2e88dceee77aecf;210;МФ;3,33;3,65
87141bde75340052950c139e21e450d0;215;АЯ;4,76;4,76
ab6daff394a7bd1513e20ee4aafb481a;204;СП;3,52;3,88
3b22a5346537a3caf96c7d45ade42a8a;214;ОУ;3,45;3,88
d7e370a082064a25cd3e939a32370ace;241;СП;3,90;4,11
30ef89d7a1f69e6813a780937a95cfd7;211;АЯ;3,55;3,94
0fb0ed2dd937b4e5522a29f9e733d9db;209;АСВК;2,78;3,24
87829e839e24bdbf4c346e43edae97fc;204;МС;4,41;4,41
5be45fc878450e5e16a3b748d118d3cd;208;ИИТ;5,00;5,00
f096ba27769fa8bd035e22fd8dcf6f96;214;ОУ;2,87;3,18
485a6c1f7b0b5155369b7e76121081e8;204;ИО;3,10;3,38
adbf3ca3032c1b9d37aa3451675c1513;214;ВТМ;3,35;3,59
58eb0a2e5aa700382135f16286d6679e;211;ВТМ;3,11;3,24
59deb98762abde7ca3ce217c729f0c44;210;МК;4,26;4,53
34d774714bf3dee6e4f2d097d7ea1d1f;241;СКИ;4,56;4,56
8ca1655d1b4a6d3c339aa0f48d8b6b3e;204;МС;4,11;4,24
9232f4994d1e8bcb89b5ae60c4572fc8;214;ОУ;3,42;3,59
1fc128e420a6c49cfcc682fa31132818;218;ОМ;3,90;4,38
4e4045a8c289cee000ddad40a31c10ab;212;ВМ;4,00;4,24
0ff855a24ba873164f59a82982aac95d;205;ВМ;3,89;4,00
929e8006bed232d51ad0fc6f36c66199;215;СП;3,70;4,00
c5c6aa0a3688df88c2559f29f3701836;203;МС;3,85;4,18
cec7a6994b357c5673f6d729ef217128;217;ВМ;4,00;4,24
ddf3bd9c01132a89da58195c988f2f3f;202;ИБ;4,17;4,29
f3b239cd65e3fdcfd86b4be8318b7ee5;207;СА;3,78;3,88
c916de6a1b4167c6e4d92dd2910054a0;202;ИИТ;4,76;4,76
7fd718dd57e549429cf6a45f384be5f5;210;СА;3,65;3,94
20753498a13306eed315ec4014ef67df;215;ВМ;3,55;3,82
d42612a8d85ace0f6b7e21c23482d5e6;211;АЯ;4,32;4,59
a0705b1ce7c1336826c34a0dba5c838b;215;ИИТ;4,53;4,53
59f98da2d783ca520679293a66b97dd7;209;ОМ;3,24;3,63
ba129d94c4b74b6a87fc06d1a504ec27;206;ИИТ;4,71;4,71
049a6c89dba21944699ae1ddffd794af;205;МФ;3,88;3,88
a0c33611c2414d71e149ae23b6f2ce1d;204;СА;3,41;3,82
7b5a6325037a7099d524d0e8505150ef;216;ММП;4,94;4,94
26f055ccf815306e7cce2995338dfd46;208;ММП;4,53;4,53
52c9d955d4b16ca1fff12f7d1869cffc;211;МК;4,21;4,47
64acbfb5cdcce2cf9f45ec431a0a9fc3;206;ИО;3,38;3,38
536f703f56c14c4f6c072700f5593fc7;203;ММП;4,94;4,94
2e564d138e0c5233e491bdfc4e8d4b94;212;ВТМ;3,17;3,24
4fa0a2c193410dc03149ed0bb24ef756;209;АЯ;3,74;3,94
090421e506045d5d2a7c294dde731b13;218;ИО;4,71;4,71
1831d2a59531e4bd13bf16dbcd36df8a;241;СКИ;4,78;4,78
40ee01248a29f74e2df2987f4e7f9eb4;241;СП;4,16;4,28
0514bed9112b2e3f88645c88febcfd73;206;МФ;3,74;3,94
c73a29672f6115a3337183af1055f63a;202;МФ;3,79;4,00
9d077df409570315f9fcbdb8eba217c1;202;ВМ;3,17;3,65
5b1a75198278a82b04ad9568a6ffef4c;207;МФ;4,39;4,53
bb568db20bbec9f358efbe80c2af90d2;202;СП;4,00;4,00
019aab5cefd85647fb24882e1678a980;203;АСВК;3,38;3,81
9670ea75fdb7c1bef3873941d52494d2;211;МФ;3,25;3,47
ee2cbc6f1d5b50f4d0a1ae755eadd54c;204;ИО;4,06;4,18
0f02a0aaf1a34858ae9781221f99db3a;208;АСВК;4,06;4,18
3835f12c87bbada31d944f5c1a5d8c85;207;ММП;4,59;4,59
0ca9a2b39e8f38d7e08603038e579ded;209;ВМ;3,61;3,71
148b66db637d9d844e6d3dda62cb2dc2;205;МФ;3,74;3,94
69176eed82df69f869ce3a68542ff677;213;СА;4,82;4,82
85863018dc15e9767e9ff931429b1b62;217;#N/A;3,59;3,69
9306f7234d3495a11970515d67a2da11;210;СП;4,12;4,12
f4448f173abb6bdf095efaabd27253db;216;МК;4,76;4,76
6dd4a6d141fe9744fc3ec07da1df826f;218;ИО;3,75;3,75
7b711b2cb28e601a7ebaf0725ea924e3;207;ИО;3,70;4,00
80b2a1b78f45e2234da2b647789d5e99;209;ИБ;2,86;3,19
50bbdcf1b11a5fb8f3e8cf686eff471d;209;МФ;3,50;3,69
775d42f4a3c22757f8ef87ad740f09e0;206;ММП;4,82;4,82
93b951a0037969d389b88b130a8e3dc4;204;ВМ;3,42;3,59
df74913efc294b8a6bbaf6264389c543;215;ИБ;4,28;4,41
33c96196252c588a6ca81cf0eaa0f406;210;ИИТ;4,82;4,82
48c36bb9628378e7115647d403e20b23;210;СП;4,38;4,38
18364c79bc5c66c1d9e669b090933a5c;204;ИБ;4,47;4,47
7fd4a49db1f2395c97f486b0355e5b13;213;НДСиПУ;4,47;4,47
7516543ed0b544db6fb03e7e3b874e35;212;МК;3,94;3,94
bf2e80dec3eae61ee5bc64bac8d40513;203;ММП;4,82;4,82
078c978c4a7b141f5ca24477ee9b0f3f;207;ИБ;5,00;5,00
f96f61bcc7ef309a32f9ceeeb588b384;215;ИБ;4,00;4,35
76a0230e6b61395d8d4d63928be23afb;213;ИИТ;4,59;4,59
5e1e858bab9d0c4e7db3deb2b752216a;201;АЯ;4,39;4,53
562230b02bc6dded51e39fe326ad7366;205;МК;4,71;4,71
b4bec6fc76dfc867b27cb7fd888261e8;202;МС;4,11;4,24
a90a1079776b4507a3a36f1e43210626;210;МФ;3,58;3,76
8d719a0b0c5529ec553b575f1eefa5cc;201;ИИТ;4,29;4,29
4a2137cf7ad4a320e614f512cab98fdc;208;АСВК;4,67;4,82
74302eb20d21b2a8361ca71ae4811268;217;МК;3,62;4,00
0ac0c9080d7e0b4b22089256f8fb72e1;213;МФ;3,13;3,63
c0f0b3eba2c2acece5d82c5775052b03;212;МФ;3,72;3,82
da5df5d85091f8c894925257a69bb68a;207;МС;4,06;4,06
27faa7769792b770421734d3df754bda;203;ИО;3,12;3,19
d27012d65367e15d8ac53a17378d2ce2;201;АНИ;4,00;4,00
c79bfdd98f39217e1b32fb4989f76f0a;216;МК;4,21;4,47
200b305dbf8df360099e0c23ca3d29a0;203;ИИТ;4,76;4,76
8a1298393c2bc1ad656510a342f7c2f3;202;МС;3,95;4,29
75b33334e2ef0268673fa78554f67c06;218;ИО;3,53;3,63
c0eb48544a8aa9fc847a8155595d5853;208;СКИ;4,71;4,71
fa167956d4e124fc29daa4e210126131;207;СП;4,53;4,53
f415f77c745566835c34a7f346dd62e3;208;ВМ;3,11;3,25
b7e04e6ff4cf091476f32aa8ff7e58ef;202;МС;4,18;4,18
2e755c7cb9b544278632e1750b0b038b;212;ИБ;3,04;3,47
5574a41e7f7007c92c7ca9dada7c86d5;218;ИО;3,00;3,50
41968da4d808fb2d16277d39e24ffef7;212;СА;3,67;3,76
5ce55b35f0b60119296d2b2fd0d36cc4;203;ММП;5,00;5,00
821dcf4652cd3aa81b39d19155d16e1a;209;МС;4,88;4,88
ee4275b22106baac00ac44a0ac83c39d;216;ВТМ;3,35;3,69
ae0f712122a833955923c6a835e99121;202;ВМ;2,92;3,29
7829697a9d5c3e1ce1a43089f495a58b;214;СА;3,76;4,18
833b77aaf658c470a30345cdab7f52bd;205;МФ;3,84;4,06
6268b3a1a1939c33a76f0f03f30d3805;214;АЯ;4,15;4,53
4e90ba68db0cdf03a3324b12d31975c7;201;АЯ;4,88;4,88
48e11cc5ce49f4c113c891d8f7256c66;211;АНИ;3,63;3,82
430ddb13e6e959541e859f194d119362;201;ИИТ;4,65;4,65
de7ceb07f4890f0e8700c3e3f73bc75e;204;АНИ;2,91;3,25
d59f1887a52de54ea52b0d2b0941bd15;218;НДСиПУ;3,24;3,53
084621836586d7382ed76cda46a2e857;211;ВТМ;3,09;3,47
f8d0b35e48b0d1f00a7d82cefcd4243a;210;СА;4,18;4,18
59c8e96653759bcd1822547022c2757c;211;МС;4,65;4,65
b9cf55d120ea522abfdca7d2ed2062a9;212;МК;4,17;4,29
34d5e5fcb141b2f5bf9b2a43884859ad;208;ИБ;3,04;3,50
03a37ab1ac4f5009ce6cbe77896c8eb5;212;АСВК;4,53;4,53
c12d6154dbd3664cc74028cf8c1e764b;217;ВМ;3,00;3,24
ee7780a8cb7d546bc3d31c7d65f2b657;206;СП;4,35;4,35
440b75a297d88235746215c64c6b61f2;213;СА;3,26;3,71
4b09b21064bfd387a8f58f92a9d6c294;201;СП;4,41;4,41
2b422bd47996ee83a3d48fde943c00a5;209;ВМ;3,50;3,59
0fb93be91f3edc30b234e2ae4a7b5584;205;ММП;4,47;4,47
a10f4c02dc1fbeb89c0a448c01d20430;203;АСВК;4,33;4,47
0564d5aebd110a688d55eea41e3cfb96;241;СКИ;4,20;4,44
b54971ee1608e3f60ed07bb3fb09c1f1;212;ОУ;3,47;3,75
f7eb8d43ec999a68b5d519708d8d65fb;204;ИО;3,62;4,00
6370b8993f1b19c6cb136e79682fa303;211;МК;3,80;4,12
69ab164ebcf7e49c3e4cc9ad7fb61d50;201;СКИ;4,29;4,29
3ce9cda775987a152072f9c207f31136;202;ИБ;3,23;3,59
194854d255d5ac52136e559d02eadf5e;213;НДСиПУ;4,44;4,59
d80eaa5e99db44de30cff9639e65d885;213;НДСиПУ;3,26;3,50
921f9df4888f1b9126bea9cdd248e34a;214;ИБ;4,39;4,53
97e2aeab3a1d133294979e7c90e33cb0;207;АСВК;3,89;4,12
aea34b0a3a1440b522a3e8d8cfda6d92;205;МК;3,70;4,00
b5a62e587e5d21ceefd5a843fb96c7a2;209;ОУ;2,95;3,19
2feb17ff8c8c8beb61cb918f6a873b4b;206;ММП;4,82;4,82
13fedefbadc63490198f4a89a60c0f0f;215;АЯ;3,33;3,65
f87d54c33145730b9636b3cc6692b703;217;ИБ;4,05;4,41
fdcce702349be2a0b6f7fb81b53f934d;241;СКИ;4,89;4,89
cf847b4db4001940428aa9f6c2ba2721;204;АНИ;4,76;4,76
9f008844502267c1083165e88935f9cc;215;АЯ;4,47;4,47
ac73fd92f1ec4fac377165a4684266e5;206;НДСиПУ;3,79;4,13
2b1cfa50c9dffc1eafc51223f2b4e844;203;ВМ;3,27;3,65
02fb20658fcedef904e0ea6ad9687563;201;АЯ;4,41;4,41
90d55518086d704edafabdeedcdb2a22;217;АЯ;4,22;4,35
614c6f3b3aac259e56db257812e0b06c;209;АЯ;3,08;3,53
739adc416e3fddbdb145426fcca935ac;208;ОУ;3,70;4,00
5f7d9772dff236062fa6b53113a53959;204;ИО;3,74;3,94
8631f26dbf756da4c86625b81193944e;206;СП;4,18;4,18
5d8bd1716ea1d12be272352c6c2df17c;214;МК;3,55;3,94
26232c7ee745fb6ff3d61df1454537cc;213;ММП;4,47;4,47
e73388a384e0af1196c85d1458e7cf69;216;ИО;3,18;3,53
55221823b5df57b786eebf59f141b05e;202;СП;3,78;3,88
8d3b7091483a87616f325fea484e7dc5;213;СП;3,35;3,59
f8568dfb1fd9142a7531eb5d00d13efe;205;ММП;3,33;3,88
cb5de6e0e91385e00d5745fc34db6fb6;206;СП;4,88;4,88
f0f7078b324e2b18fbf47b1c41b66eb9;213;СП;3,94;3,94
ccc62cb4061f5436f2d2e7e758526300;205;МФ;3,50;3,76
4bb03c0cf97ae0c30229c8b992bd1e13;216;ИО;4,67;4,82
bdff46f3b97d36ef16e2492959af4988;211;АНИ;3,00;3,38
2e95b435d092750bedc565160b06095e;216;АЯ;4,17;4,29
2b13e40154589260bed832bc7a1bd1a3;206;СП;2,96;3,41
53bfeb23f58f1816d8aaf3a96ab87c19;205;ИИТ;4,33;4,47
7a9196f56ded1cfb161148ae01f8a260;201;СП;3,52;3,88
8e08cad9b096ecf61eff9007b355d4e2;211;МС;4,41;4,41
95146a532679a4c0095e93ea775b3d4d;201;АСВК;4,06;4,18
1e7c638a6321fbf4d9ffdf39f8c05544;201;ИИТ;4,59;4,59
fe1722426b184c6ed8f0e85ccb7652ba;205;ИИТ;4,47;4,47
21d2be17911f69aafdb572c0ef7cee50;203;ИО;3,20;3,50
012a5c266a7b9e578d92ff6a66f16dbc;206;ИБ;4,29;4,29
2e1ca41309b063806c9e714c63a06c5b;213;ИО;3,94;4,06
c6e6c1b6e33f47001a6116d083263015;214;ОУ;3,00;3,35
f8912257774f22b9339236d8b0a7bd98;217;ИО;3,55;3,82
f1e6cfacf21f3de2bf7b7b4092dfdd04;218;МФ;3,14;3,56
4f6ffa6f386abedfa066ea8ab9a65a09;202;ИО;3,39;3,56
b4e2ddfa4e59ab26403727302dd244ad;205;ММП;4,94;4,94
1abd43fe296b561828ac12ef3b5b1e6c;215;АЯ;4,41;4,41
517ffa9797aae831e4b65b499eebfa7b;212;МФ;4,47;4,47
171f63075ed122bfda5f6f59904fe57c;212;ИБ;4,88;4,88
c77e880e981b0fb92b6d8ea7ed2c571a;203;СКИ;4,59;4,59
a06b414fd81d5432b469a755f8b36cac;204;МС;3,29;3,59
b017d61efcb7d69ef0fc9f2d66f8d36c;202;СКИ;4,18;4,18
89527c172db12612cd87e14116583a4f;216;АСВК;3,70;4,00
0dc92401735ebd5d213ae79812a55bdd;206;ВТМ;4,28;4,41
6871e12a3d8fa9a7a1f9860b94b5bfc8;208;ОМ;2,88;3,31
d6612cc7e6a4e518ee1744edb78fc11e;206;МФ;3,83;3,94
3595b2c14571aa13b24d87c92fd28eb1;218;НДСиПУ;3,37;3,63
b00d577c298b504dd101e54162ccbb3e;214;ОУ;2,81;3,31
d581889c414c3df076e80da73aafd25b;214;ИБ;3,25;3,47
d3981cbb417b05aa4049580ba0192a92;212;ИБ;4,17;4,29
e61720458b97d80fcbb81a13e4f57595;207;ИО;3,28;3,44
add1a036a7e7fca2ee8227f0139404e6;211;ВМ;4,94;4,94
d329d789fc9f814f88993a23edc655a8;241;ОМ;2,92;3,22
665ff45e75290f543a0003c9e26ee1fc;215;ММП;4,39;4,53
052a9802fc68d7fb8503623795d60434;202;СКИ;4,47;4,47
74fe8534f9a13fbcc03909b414d3f4f2;201;ИИТ;5,00;5,00
cf46b3f0ab825e49719bdb740843383f;217;ВМ;3,00;3,59
792a7eb7308fe3891c9fc816c90216e2;217;АЯ;3,62;4,00
bd61749057bc21e838335dcc9a29f9bc;201;АЯ;3,25;3,47
db048582b5aa563d41c46d58b19b36fa;210;АЯ;4,25;4,65
3cb25a24096f7ba508e414b754e7708e;207;ВМ;4,59;4,59
26b08e05a404e1e810a1140052682d78;209;АНИ;3,09;3,41
3cd539a638fed3943467dc4265ed72a6;215;АЯ;4,06;4,18
716b40d768ea7673b79f0cf49690680c;201;АЯ;4,06;4,06
93c18ed125030557faa13dca59ca03c7;204;ИБ;4,41;4,41
8a36f53a223c8a70cc9d30022d42e2b6;215;МС;4,18;4,18
fd037c9840538c9ac426960ad5742479;216;НДСиПУ;3,84;4,06
03dd47faaea223fd86cf24c745a88e79;215;ММП;4,65;4,65
603e430abdb8c5d9059b5aeb1d5d0bfa;211;СКИ;4,28;4,41
cd7bd70ccbbb7340d60896f8fc2f8001;216;МК;3,53;3,71
19641830f7fa4172e57c7a473d89c16a;206;МС;3,33;3,41
d14dcc4cd810bbd53adfbf63a3df3699;208;ОУ;3,30;3,63
1f105ac4481e0d5bdbdf8907bed5f677;211;СКИ;4,82;4,82
40a052e38bad985089a23acf5be98fca;241;ОМ;4,15;4,39
d49ced23801eeea09b19f16601b44bb7;206;СП;4,71;4,71
b59b15c98d5c45c187d79f42eafa39cf;213;ОУ;3,26;3,50
6cc52eb74d9f25457b792107ece03876;210;АНИ;3,04;3,53
8f3bcd0b24d59e930f7962c5dc8e9c0f;215;СП;4,06;4,18
a37fcd2b7005260240969dfefdf77070;203;ММП;5,00;5,00
d75ebef2caca6a3b017fa2fd68ccdacb;211;ОУ;3,75;3,75
8384e1357c0643069f3c4c2a22b08789;201;СП;3,59;3,59
2e30fa6ba4d3424e9b894723eb28a474;201;АНИ;4,11;4,24
2605877f00be27790a619fb7cea9fd07;205;МФ;3,89;4,12
6c490f6a1f12405903842bf3d684a458;201;СП;3,78;3,88
c5ac0399f471a211c1942ebfff74f3d0;215;АЯ;3,84;4,06
fffb99154e483c3bc38e98619f450651;201;АЯ;4,53;4,53
ba5c915fb6e43928defd23bf3763009c;205;ИИТ;4,65;4,65
72eae85d251da47e3993484df47a1764;203;СП;4,41;4,41
7ba6c5161348e3cfe127c23a6700dffc;214;ИБ;4,47;4,47
3fad58673f2359da57c0e0681ed3477c;201;АНИ;3,23;3,59
e93039f2a099bcf6cecf8c39c07908b3;209;ВМ;3,25;3,56
34debf1023678548336eda8dbe41a3f5;208;ОУ;3,61;3,71
193aacd10b257291612d940da6acfa49;205;НДСиПУ;3,44;3,63
